"wp_product_id","name","wp_event_id","price","stock_qty","sold_count"
"781258","Acces sambata 31.01.26","694576","45","100","0"
"781273","Acces sambata 14.02.26","781259","45",,"3"
"781508","15.01.26 Acces General","781625","70","144","6"
"781528","15.01.26 Acces VIP","781625","90","95","5"
"781653","21.01.26 Presale cu loc la masa","781598","59","90","20"
"782240","Taxă de participare - FEMEI","782231","119","0","31"
"782244","Taxă de participare - BARBATI","782231","119","0","14"
"782251","After Party - FEMEI","782231","49","30","5"
"782283","After Party - BARBATI","782231","49","25","5"
"782360","29.01.26 Earlybird","782351","40","0","20"
"782369","29.01.26 General","782351","50","31","59"
"782382","29.01.26 Late Bird","782351","70","3","30"
"782634","Categoria I","782603","60",,"126"
"782938","30.01.26 Presale","782935","100","96","27"
"782939","30.01.26 Acces","782935","120",,"3"
"783186","Categ.III","783175","30",,"31"
"783192","Categ.II","783175","40",,"100"
"783193","Categ.I","783175","50",,"225"
"783245","Acces duminica 31.01.26","783237","45",,"7"
"783399","24.01.26 Last Minute","783364","35","30","0"
"783417","Categ.III","783403","40",,"65"
"783418","Categ.II","783403","50",,"207"
"783420","Categ.I","783403","60",,"125"
"783426","Categ.III","783405","30",,"32"
"783427","Categ.II","783405","40",,"112"
"783428","Categ.I","783405","50",,"222"
"783468","Categoria III","783462","40",,"40"
"783474","Categoria II","783462","50",,"203"
"783475","Categoria I","783462","60",,"118"
"784054","Categoria III","784048","40",,"8"
"784058","Categoria II","784048","50",,"112"
"784061","Categoria I","784048","60",,"123"
"784075","Categ.III","783565","40",,"45"
"784085","Categ.II","783565","50",,"202"
"784094","Categ.I","783565","60",,"126"
"784110","Categoria III","783578","30",,"2"
"784111","Categoria II","783578","40",,"47"
"784112","Categoria I","783578","50",,"80"
"784183","31.10.26 Acces","784159","50",,"0"
"785626","Categ.III","785621","100",,"103"
"785627","Categ.II","785621","120",,"163"
"785628","Categ.I","785621","150",,"71"
"785669","30.01.26 Acces","785651","70",,"40"
"785703","Cat.II","785681","50",,"200"
"785749","29.01.26 Presale","785736","50","25","55"
"785763","29.01.26 Acces","785736","70","38","12"
"785784","Acces duminica 25.01.26","785778","45","47","3"
"785823","01.02.26 Acces","785812","30",,"33"
"785827","01.02.26 Oferta grup 4 persoane","785812","25",,"48"
"785978","05.02.26 Presale Etaj","785973","50","0","54"
"786368","12.02.26 Acces","786325","50",,"144"
"786596","29.01.26 Acces","786592","60",,"61"
"786797","24.01.26 Presale","786786","75","0","0"
"786803","24.01.26 Acces","786786","90","0","0"
