"wp_event_id","post_status","description","hero_image_url","poster_url","featured_image_url","sold_out","website","facebook","amanat","anulat","bilete_doar_la_intrare"
"213195","publish","<strong>O CINĂ CU BUCLUC, după Michael Frayn</strong>

Bucurați-vă de o experiență teatrală de neuitat cu spectacolul „O cină cu bucluc”, unde umorul pătrunzător întâlnește drama inedită a vieții.
În centrul atenției se află Stephen, un veteran al glumelor cu inimă de aur și un trecut tumultuos, și Jo, o soție model care și-a păstrat farmecul în ciuda trecerii anilor. Când Barney, un suflet rănit și un pahar în plus, se alătură petrecerii, totul ia o întorsătură neașteptată.
Între trecut și prezent, între iubire și dezamăgire, această cină va fi cu adevărat memorabilă. Alăturați-vă și descoperiți ce se întâmplă când inimile se ciocnesc și se împletesc într-un dans al destinelor.
Toate aceste situații comice și neprevăzute sunt prezentate în ""O cină cu bucluc"", un spectacol adaptat după un text de Michael Frayn.

Distribuția:
Oana Berbec și Ștefan Opreanu;
Regia: Mircea Rotaru
O producție Teatrul SoArt.
Un spectacol organizat de Syarela Arts","https://www.ambilet.ro/wp-content/uploads/2025/10/O-cina-cu-bucluc-banner-gen.jpg","https://www.ambilet.ro/wp-content/uploads/2025/10/O-cina-cu-bucluc-banner-gen.jpg","https://www.ambilet.ro/wp-content/uploads/2025/10/O-cina-cu-bucluc-banner-gen.jpg","1","https://www.facebook.com/SyarelaArts/events",,"0","0","0"
"497067","publish",,"https://www.ambilet.ro/wp-content/uploads/2024/05/Transilvania-Tatoo-24-26.05.2024-banner.jpg",,"https://www.ambilet.ro/wp-content/uploads/2024/05/Transilvania-Tatoo-24-26.05.2024-banner.jpg","0",,,"0","0","0"
"530033","publish","<strong>--------------------------------------
</strong>

<strong><span class=""hsphh064 owmke36a kjdc1dyq ctgv7vl3 m8h3af8h lvuc4oj0 je9skisw tt3ens6q eq5u9d8z"" data-testid=""emoji""><span class=""tbl4rxom k8cr7cgy eusf8shn rl78xhln f7cxi1y6 srn514ro"">CĂLUGĂRIȚA FEMINISTĂ și MISOGINUL MODERNIST</span></span>
</strong>după URSUL de Anton Pavlovici Cehov
O comedie dramatică despre iubiri absurde

&nbsp;

Spectacolul ""Călugărița feministă si Misoginul modernist"" este o comedie spectaculoasă, adaptare după Ursul de A. P. Cehov.

&nbsp;

Universul lui Cehov este fascinant, iar montarea lui Alexandru P. Rusu aduce în contemporaneitate lumea plină de farmec și profunzime a personajelor sale.

&nbsp;

Smirnov este un antreprenor în luptă cu morile de vânt din cauza bugetelor de sprijin inexistente și a datoriilor acumulate de la furnizori, dar niciodată returnate. Un “misogin"" îndrăgostit, care s-a duelat de 3 ori pentru a cuceri femei.

&nbsp;

Popova este o femeie plină de viață, ce parcurge drumul interior de la văduvă devotată, la călugăriță și chiar la războinică îndrăgostită, totul în decurs de o oră și jumătate.
Atunci când cei doi se ciocnesc, ies însă scântei, iar comedia este asigurată de la un capăt la altul!

&nbsp;

Distribuția: Valentina Visarion Mingopol, Axel Moustache

&nbsp;

Regie : Alexandru P. Rusu
Muzică originală: Andi Bănică
Versuri: Axel Moustache, Valentina Visarion Mingopol

&nbsp;

Costume și scenografie: Radu Gheorghițoiu
Design afiș &amp; video: Radu Popovici
Designer rochii spectacol @Novak Couture.

&nbsp;

Un spectacol organizat &amp; produs de Syarela Arts.

&nbsp;

Locatie: Teatrul Amzei<br class=""html-br"" />Adresa: str.Biserica Amzei, nr. 21-23","https://www.ambilet.ro/wp-content/uploads/2023/01/Calugarita-Feminista-Banner.jpg","https://www.ambilet.ro/wp-content/uploads/2023/01/Calugarita-Feminista-Afis.jpg","https://www.ambilet.ro/wp-content/uploads/2023/01/Calugarita-Feminista-Banner.jpg","0","https://www.facebook.com/SyarelaArts",,"0","0","0"
"573330","publish","<strong>Nopți albe</strong>
dramatizare după nuvela lui F. M. Dostoievski

&nbsp;

Cu sensibilitate și candoare, Nastasia și Feodor aduc în fața publicului o poveste despre o iubire pură, așa cum numai în scrierile lui Dostoievski poți găsi.
Aceasta iubire ideală, chiar ireală vine să îndeplinească un noian de vise și speranțe, de căutări și frământări și aduce cu ea alte speranțe, alte vise și alte frământări, într-o continuă goană în căutarea fericirii.
FEODOR (Vlad Andrei) este un tânăr visător care rătăcește într-o lume imaginară pe care singur și-a creat-o, o lume în care se simte îndrăgostit și fericit, o lume mai frumoasă decât realitatea din jurul său, pe care o detestă și din care își dorește să evadeze.
Întâlnirea sa cu Nastasia (Cristina Apostol), o tânără pe cât de melancolică, pe atât de plină de viață, reprezintă începutul unei povești de dragoste care îi va schimba viața. Cei doi ajung să-și împărtășescă visurile, temerile și speranțele, iar tânărul începe să nutrească
sentimente puternice față de ea, însă lucrurile iau o întorsătură neașteptată pentru amândoi.
Vă invităm să descoperiți alături de ei farmecul scrierilor marelui Dostoievski și să urmăriți o poveste încărcată de sensibilitate, emoție și dramatism în care vom încerca să aflăm dacă <strong>“O clipă, o singură clipă de încântare sublimă oare e de ajuns pentru o viață de om</strong>?”

&nbsp;

<strong>NASTASIA</strong> – Cristina Apostol
<strong>FEODOR</strong> – Vlad Andrei
Regia – Andrei Cotarcea

&nbsp;

Un spectacol organizat de Syarela Arts.","https://www.ambilet.ro/wp-content/uploads/2025/01/Nopti-albe-banner-24.01.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/01/Nopti-albe-afis-24.01.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/01/Nopti-albe-banner-24.01.25.jpg","0","https://www.facebook.com/SyarelaArts/events","https://fb.me/e/3ND9XYTeu","0","0","0"
"618802","publish","🎉🕺 Transilvania Tattoo Expo se afla la editia nr 13 , am inceput in 2009 , fiind prima conventie internationala de tatuaje din Romania.
De-a lungul timpului am fost onorati cu participanti de marca ai scenei tattoo internationale , cum ar fi Robert Hernandez , Victor Portugal , Takami Horikoshi , Mike Skiver , Carl Crace ,Stefano Alcantara , Benjamin Moss , Victor Policheri , John Montgomery , Maximo Lutz si multi altii.","https://www.ambilet.ro/wp-content/uploads/2025/03/Transilvania-Tatoo-Expo-2025-banner.jpg","https://www.ambilet.ro/wp-content/uploads/2025/03/Transilvania-Tatoo-Expo-2025-banner.jpg","https://www.ambilet.ro/wp-content/uploads/2025/03/Transilvania-Tatoo-Expo-2025-banner.jpg","0",,"https://fb.me/e/3f8dD4GX6","0","0","0"
"682152","publish","Cei mici sunt invitați să li se alăture faimosului elefanțel Dumbo în lunga și fascinanta sa călătorie în găsirea fluturașului său.

&nbsp;

În drumul său, Dumbo va fi acompaniat, pe lângă micii spectactori, și de  îngerașul său care îi va sta drept sfătuitor și îndrumător.

&nbsp;

Cu ajutorul copiilor, elefănțelul va reuși să răspundă ghicitorilor adresate de prietenii pe care îi va întâlni în calea sa și va reuși să destrame vraja Duhului.

&nbsp;

Odată ruptă vraja, acesta se va transforma în prinț și fluturașul într-o frumoasă prințesă.

&nbsp;

Actorii vor da viață personajelor: Ursul, Crocodilul, Șarpele, Coco, Prințul Dumbo, Fluturașul, Îngerașul, Fifi, Duhul și Prințesa Fluture

&nbsp;

Spectacol de teatru interactiv  recomandat copiilor cu vârsta de peste 4ani. <strong>Durata: </strong>45 de minute

&nbsp;

Un spectacol organizat în cadrul programului cultural <strong>Caravana cu Spectacole @</strong> <strong>Hard Rock Cafe București </strong>(Soseaua Pavel Dimitrievici Kiseleff 32, Sector 1, București).

&nbsp;

Powered by  <strong>Caravana cu Spectacole</strong>
<strong>#caravanacuspectacole</strong>

&nbsp;

<strong>Alte mențiuni:</strong>
<ul>
 	<li>Pentru copiii cu vârsta de peste 1 an se achită bilet. Se achită bilete atât pentru copii cât și pentru părinți</li>
 	<li>Vă rugăm să vă prezentați la locație cu 30 de minute înainte de începerea spectacolului pentru a vă ocupa locurile preferate.</li>
</ul>","https://www.ambilet.ro/wp-content/uploads/2025/07/dumbo-caravana-banner.png","https://www.ambilet.ro/wp-content/uploads/2025/07/dumbo-caravana-afis.png","https://www.ambilet.ro/wp-content/uploads/2025/07/dumbo-caravana-banner.png","0",,,"0","0","0"
"683835","publish","<div class=""short-desc"">Peștisorul, cu glas de om, îi ceru pescarului să-l lase în viață și să-l arunce înapoi în apă. Pescarul era un om milostiv, însă îi era teamă de gura spurcată a nevestei, gândindu-se că se va întoarce acasă fără hrană. În cele din urmă, cruță viața bietei ființe, hotărându-se să o lase să se întoarcă în împărăția apelor. Peștișorul, drept răsplată, îi promise pescarului că-i va îndeplini trei dorințe. Însă pescarul, trecut prin atâtea necazuri, nu mai credea în minuni. Când pescarul se întoarse acasă fără pește, nevasta îl dojeni aspru. Pentru a o îmbuna, îi povesti întâmplarea ciudată de care avu parte, ba pomeni și de promisiunile peștișorului de aur.</div>
<div class=""event-detail"">
<div>

&nbsp;

Preț de câteva clipe, nevasta lui se arătă neîncrezatoare, își spuse că are un papă-lapte de bărbat, mult prea milostiv. Asta trebuie să fi fost pricina pentru care cruțase viața peștișorului. Dar, șireată cum era, se hotărî să-l pună la încercare pe bietul pescar. Oare îi va îndeplini peștisorul auriu cele 3 dorințe pescarului?

&nbsp;

Actorii vor da viață personajelor: Peștișorul auriu, Pescarul, Nevasta pescarului, Neptun (Zeul mării), Terra (Zeița Pământului) și Slujitorul.

&nbsp;

Spectacol de teatru interactiv recomandat copiilor cu vârsta de peste 3 ani.

Durata: 45 de minute

&nbsp;

Un spectacol organizat în cadrul programului cultural Caravana cu Spectacole la Restaurant Hanu’ lui Manuc - Piața Unirii, Strada Franceză 62-64, Sector 3, București

&nbsp;

Powered by <strong>Caravana cu Spectacole</strong>
#caravanacuspectacole

&nbsp;

Alte mențiuni:
<ul>
 	<li>Pentru copiii cu vârsta de peste 1 an se achită bilet. Se achită bilete atât pentru părinți cât și pentru copii.</li>
 	<li>Vă rugăm să vă prezentați la locație cu 30 de minute înainte de începerea spectacolului pentru a vă ocupa locurile preferate.</li>
</ul>
</div>
</div>","https://www.ambilet.ro/wp-content/uploads/2025/06/Pestisorul-de-aur-caravana-banner.png","https://www.ambilet.ro/wp-content/uploads/2025/06/Pestisorul-de-aur-caravana-afis.jpg","https://www.ambilet.ro/wp-content/uploads/2025/06/Pestisorul-de-aur-caravana-banner.png","0",,,"0","0","0"
"701691","publish","Spectacolul este o adaptare interactivă după povestea ”Micul Prinț” de A. de Saint-Exupery. Copiii vor fi companionii Micului Prinț si ajutor de nădejde în aventura sa pe pământ, în căutarea unui prieten adevărat.

O pledoarie pentru adevărata prietenie, o călătorie care începe şi se termină pe planeta Micului Prinţ care va rămâne alături de floarea sa.

&nbsp;

Micii spectatori vor fi fascinați și prinsi în mrejele spectacolului, de la început până la sfârsit, datorită multitudinii elementelor speciale ce compun acest spectacol: jocul actorilor, muzica, păpușile și marionetele, precum și de teatrul de umbre!

&nbsp;

Actorii vor da viață personajelor: Micul Prinț, Floarea, Regele, Bețivul, Lăudărosul, Aviatorul, Șarpele și Vulpea.

&nbsp;

Spectacol de teatru interactiv recomandat copiilor cu vârsta de peste 4 ani. Durata: 45 de minute.

Un spectacol pus în scenă in cadrul programului cultural <strong>Caravana cu spectacole</strong> la <strong>Restaurant La Mama</strong> (Intrarea Monetariei nr. 3, Muzeul Național al Tăranului Român, București, Sector 1)

&nbsp;

Powered by<strong> Teatru la Cinema</strong>

<strong>#caravanacuspectacole</strong>

&nbsp;

Alte mențiuni:
<ul>
 	<li>Pentru copiii cu vârsta de peste 1 an se achită bilet. Se achită bilete atât pentru părinț cât și pentru copii.</li>
</ul>","https://www.ambilet.ro/wp-content/uploads/2025/08/Micul-Print-banner-gen.jpg","https://www.ambilet.ro/wp-content/uploads/2025/08/Micul-Print-afis-gen.jpg","https://www.ambilet.ro/wp-content/uploads/2025/08/Micul-Print-banner-gen.jpg","0",,,"0","0","0"
"701880","publish","După pauza de vară, +𝟏, 𝐍𝐨𝐭 𝐌𝐢𝐧𝐞 revine cu o nouă experiență pentru comunitatea noastră de oameni single, cool și deschiși la conexiuni reale.

&nbsp;

✨"" 𝐖𝐡𝐢𝐭𝐞 &amp; 𝐒𝐡𝐢𝐧𝐞 𝐄𝐝𝐢𝐭𝐢𝐨𝐧 ✨ o petrecere cu twist pentru prieteni buni, nu iubiți.

&nbsp;

👉 Nu e o „<em>petrecere de dating</em>”. Nu e speed-dating. E fun, elegant și relaxat.
Conceptul e simplu: tu vii cu un <strong>+1 cool</strong> (prieten, coleg, prietenă – nu iubit/ă). Noi aducem atmosfera, muzica, icebreakers fun și energia care fac din #LateSummerParty una memorabilă.

&nbsp;

<strong>Comunitatea noastră</strong> deja s-a conturat: <em>oameni educați, mișto, între 25 și 40</em> de ani, care s-au săturat de swipe-uri fără sens, de ghosting și de „poze care nu seamănă cu realitatea” 😊. Aici nu există presiune, nimic cringe. Doar socializare autentică, râsete și un vibe elegant &amp; relaxat.

&nbsp;

<strong>Ce înseamnă +1, Not Mine?</strong>

&nbsp;

Tu vii cu cineva misto (un prieten sau o prietenă) – <strong>NU</strong> cu partenerul/partenera ta romantică.

&nbsp;

Astfel, aduci în comunitate o <em>energie nouă</em>, și la fel face toată lumea. Se creează un context natural, sigur și fun, în care cunoști oameni cool.

&nbsp;

Dacă vrei să vezi cum a fost până acum, aruncă un ochi la edițiile anterioare. Am reușit să strângem o comunitate exclusivistă de singles mișto, iar pe 12 septembrie continuăm povestea cu White &amp; Shine Edition.

&nbsp;

🤍𝗗𝗿𝗲𝘀𝘀𝗰𝗼𝗱𝗲 All White (obligatoriu)

✨Accent <em>Gold / Silver / Sparkle</em> (opțional, dar recomandat)

📅 Data: 12 septembrie
📍 Locație: Mirador Rooftop

&nbsp;

📅 𝗣𝗥𝗢𝗚𝗥𝗔𝗠
🕗 20:00 – Warm-up de socializare: un pahar &amp; multe zâmbete
🎲 21:00 – Icebreakers relaxate (fun, zero cringe)
🎤 22:00 – Momentul +1 – pentru cei curajoși care vor să-și prezinte +1-ul
💃 22:30 → Party de vară târzie până în zori

&nbsp;

Lasă <strong>dating apps</strong> pe silent și <strong>vino să vezi cum e când conexiunile se fac în realitate</strong>

&nbsp;

💡 Vino și tu în comunitatea noastră de oameni cool.

&nbsp;

#WhiteAndShine #LateSummerParty #PlusOneNotMine #Singles #RooftopParty #AllWhiteParty #BucharestEvents #SmartSingles #RealConnections #NetworkingFun #GoodVibesOnly #ShineBright","https://www.ambilet.ro/wp-content/uploads/2025/08/White-and-Shine-banner-12.09.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/08/White-and-Shine-banner-12.09.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/08/White-and-Shine-banner-12.09.25.jpg","0",,"https://fb.me/e/6MgOn6WiP","0","0","0"
"709179","publish","Pe <strong>25 septembrie, ora 20:00, True Social Club</strong> devine locul unde dorul de munte și energia folk-ului autentic se întâlnesc!

&nbsp;

Trupa <strong>CALEnDAR</strong> aduce la București cântecele care au însoțit generații pe poteci, în tabere și la focurile de chitară. O seară de muzică live, emoție și amintiri care se leagă de libertatea muntelui.

&nbsp;

Atmosfera caldă și prietenoasă, vocile care se unesc pe refrene cunoscute și chitara ce răsună în inima Centrului Vechi – toate te așteaptă la un eveniment special.

&nbsp;

📍 True Social Club – str. Covaci nr. 19
🎟️ Bilete: AmBilet.ro

&nbsp;

Hai cu gașca și trăiește seara în care Bucureștiul prinde ecoul munților!","https://www.ambilet.ro/wp-content/uploads/2025/09/Calendar-banner-25.09.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/09/Calendar-banner-25.09.25.jpg","https://www.ambilet.ro/wp-content/uploads/2025/09/Calendar-banner-25.09.25.jpg","0",,"https://fb.me/e/6Kv0ACEin","0","0","0"
